,Valor,IPTU_Condicao,Caracteristicas,Tipo,Endereco
851,R$ 440.000,R$ 534 Condo. + IPTU,87 m² · 3 quartos · 1 vaga,Apartamento,"Rua Joaquim Nabuco, Nova Suíça · Belo Horizonte"
852,R$ 500.000,R$ 573 Condo. + IPTU,90 m² · 2 quartos · 2 vagas,Apartamento,"Rua Castelo de Guimarães, Castelo · Belo Horizonte"
853,R$ 380.000,R$ 434 Condo. + IPTU,85 m² · 2 quartos · 2 vagas,Apartamento,"Rua Darcy Vargas, Nova Suíça · Belo Horizonte"
854,R$ 650.000,R$ 492 Condo. + IPTU,110 m² · 3 quartos · 2 vagas,Apartamento,"Rua Visconde de Taunay Santa Monica - Belo Horizonte, Santa Mônica · Belo Horizonte"
855,R$ 810.000,R$ 786 Condo. + IPTU,110 m² · 4 quartos · 1 vaga,Apartamento,"Avenida dos Bandeirantes, Mangabeiras · Belo Horizonte"
856,R$ 530.000,R$ 583 Condo. + IPTU,91 m² · 3 quartos · 3 vagas,Apartamento,"Rua Silva Fortes, União · Belo Horizonte"
857,R$ 530.000,R$ 584 Condo. + IPTU,160 m² · 3 quartos · 2 vagas,Apartamento,"Rua Maria Heilbuth Surette, Buritis · Belo Horizonte"
858,R$ 1.046.000,R$ 1.116 Condo. + IPTU,67 m² · 2 quartos · 2 vagas,Apartamento,"Rua Juíz de Fora, Santo Agostinho · Belo Horizonte"
859,R$ 520.000,R$ 712 Condo. + IPTU,69 m² · 2 quartos · 1 vaga,Apartamento,"Rua Dúlce Maria, Ipiranga · Belo Horizonte"
860,R$ 925.000,R$ 1.100 Condo. + IPTU,110 m² · 3 quartos · 2 vagas,Apartamento,"Rua Xapuri, Grajaú · Belo Horizonte"
861,R$ 460.000,R$ 559 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Rua Pouso Alegre, Colégio Batista · Belo Horizonte"
862,R$ 750.000,R$ 542 Condo. + IPTU,90 m² · 3 quartos · 2 vagas,Apartamento,"Rua Pedra Bonita, Barroca · Belo Horizonte"
863,R$ 930.000,R$ 1.100 Condo. + IPTU,170 m² · 4 quartos · 3 vagas,Apartamento,"Rua Artur Alvim, Horto Florestal · Belo Horizonte"
864,R$ 245.000,R$ 220 Condo. + IPTU,68 m² · 3 quartos · 1 vaga,Apartamento,"Rua dos Cometas, Milionários (barreiro) · Belo Horizonte"
865,R$ 580.000,R$ 601 Condo. + IPTU,98 m² · 3 quartos · 1 vaga,Apartamento,"Rua Cabo Verde, Cruzeiro · Belo Horizonte"
866,R$ 290.000,R$ 274 Condo. + IPTU,64 m² · 3 quartos · 1 vaga,Apartamento,"Rua Zurick, Calafate · Belo Horizonte"
867,R$ 480.000,R$ 537 Condo. + IPTU,70 m² · 2 quartos · 2 vagas,Apartamento,"Rua Castelo Évora, Castelo · Belo Horizonte"
868,R$ 350.000,R$ 32 Condo. + IPTU,90 m² · 2 quartos · 1 vaga,Casa,"Rua Édson Tomás Santos, São Bernardo · Belo Horizonte"
869,R$ 450.000,R$ 129 Condo. + IPTU,140 m² · 3 quartos · 2 vagas,Casa,"Rua Canelinha, Pindorama · Belo Horizonte"
870,R$ 460.000,R$ 100 Condo. + IPTU,100 m² · 2 quartos · 2 vagas,Casa,"Rua Uraricoera, Renascença · Belo Horizonte"
871,R$ 450.000,R$ 375 Condo. + IPTU,56 m² · 2 quartos · 1 vaga,Apartamento,"Rua Deputado André de Almeida, Ouro Preto · Belo Horizonte"
872,R$ 480.000,R$ 417 Condo. + IPTU,100 m² · 3 quartos · 2 vagas,Apartamento,"Rua Paulo Piedade Campos, Estoril · Belo Horizonte"
873,R$ 550.000,R$ 0 Condo. + IPTU,90 m² · 2 quartos · 1 vaga,Casa,"Rua Doutor Furtado de Menezes, Ipiranga · Belo Horizonte"
874,R$ 360.000,R$ 25 Condo. + IPTU,100 m² · 3 quartos,Casa,"Rua Maestro Lôbo de Mesquita, Tupi · Belo Horizonte"
875,R$ 625.000,R$ 584 Condo. + IPTU,89 m² · 3 quartos · 2 vagas,Apartamento,"Rua Bicas, Sagrada Família · Belo Horizonte"
876,R$ 470.000,R$ 725 Condo. + IPTU,100 m² · 3 quartos · 1 vaga,Apartamento,"Rua Cianita, Grajaú · Belo Horizonte"
877,R$ 310.000,R$ 404 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Avenida Dom Joao Vi 1911 - Palmeiras Belo Horizonte - Mg 30580-270 Brasil, Palmeiras · Belo Horizonte"
878,R$ 350.000,R$ 586 Condo. + IPTU,94 m² · 2 quartos · 1 vaga,Apartamento,"Rua Meira de Vasconcelos, Maria Virgínia · Belo Horizonte"
879,R$ 340.000,R$ 260 Condo. + IPTU,84 m² · 3 quartos · 1 vaga,Apartamento,"Rua Jacinto, Alto dos Pinheiros · Belo Horizonte"
880,R$ 289.000,R$ 429 Condo. + IPTU,60 m² · 3 quartos · 1 vaga,Apartamento,"Rua Abdenago Lisboa, Heliópolis · Belo Horizonte"
881,R$ 490.000,R$ 529 Condo. + IPTU,133 m² · 3 quartos · 2 vagas,Apartamento,"Rua João Antônio Cardoso, Ouro Preto · Belo Horizonte"
882,R$ 340.000,R$ 300 Condo. + IPTU,85 m² · 2 quartos,Apartamento,"Rua Tapira, Renascença · Belo Horizonte"
883,R$ 490.000,R$ 580 Condo. + IPTU,58 m² · 2 quartos · 2 vagas,Apartamento,"Rua Elisa Felippeto Ricaldoni, Castelo · Belo Horizonte"
884,R$ 430.000,R$ 625 Condo. + IPTU,72 m² · 3 quartos · 2 vagas,Apartamento,"Rua Tabapuam, Dom Bosco · Belo Horizonte"
885,R$ 495.000,R$ 478 Condo. + IPTU,85 m² · 3 quartos · 2 vagas,Apartamento,"Avenida General Olímpio Mourão Filho, Itapoã · Belo Horizonte"
886,R$ 600.000,R$ 679 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Rua Zilah Correa de Araújo, Ouro Preto · Belo Horizonte"
887,R$ 239.000,R$ 120 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Rua José Gonçalves Pimenta, Heliópolis · Belo Horizonte"
888,R$ 550.000,R$ 530 Condo. + IPTU,100 m² · 3 quartos · 1 vaga,Apartamento,"Rua Leopoldina Cardoso, Dona Clara · Belo Horizonte"
889,R$ 650.000,R$ 550 Condo. + IPTU,144 m² · 3 quartos · 2 vagas,Apartamento,"Rua Barão de Ibituruna, Caiçaras · Belo Horizonte"
890,R$ 695.000,R$ 905 Condo. + IPTU,61 m² · 2 quartos · 2 vagas,Apartamento,"Rua Eli Seabra Filho, Buritis · Belo Horizonte"
891,R$ 285.000,R$ 700 Condo. + IPTU,67 m² · 2 quartos · 1 vaga,Apartamento,"Rua Wilsom Modesto Ribeiro, Ipiranga · Belo Horizonte"
892,R$ 470.000,R$ 501 Condo. + IPTU,120 m² · 2 quartos · 2 vagas,Apartamento,"Rua Quaquarema, Fernão Dias · Belo Horizonte"
893,R$ 630.000,R$ 604 Condo. + IPTU,85 m² · 3 quartos · 2 vagas,Apartamento,"Rua Bento Mendes Castanheira, Dona Clara · Belo Horizonte"
894,R$ 790.000,R$ 817 Condo. + IPTU,117 m² · 3 quartos · 2 vagas,Apartamento,"Rua Professor Euclydes Ferreira, Buritis · Belo Horizonte"
895,R$ 490.000,R$ 797 Condo. + IPTU,63 m² · 2 quartos · 2 vagas,Apartamento,"Rua Doutor Mário Magalhães, Itapoã · Belo Horizonte"
896,R$ 470.000,R$ 255 Condo. + IPTU,57 m² · 2 quartos · 2 vagas,Apartamento,"Rua Pequiá, Dona Clara · Belo Horizonte"
897,R$ 495.000,R$ 568 Condo. + IPTU,110 m² · 3 quartos · 3 vagas,Apartamento,"Rua São Claret, Silveira · Belo Horizonte"
898,R$ 399.000,R$ 375 Condo. + IPTU,111 m² · 2 quartos · 1 vaga,Apartamento,"Rua Luiz Cosme, Estrela Dalva · Belo Horizonte"
899,R$ 360.000,R$ 250 Condo. + IPTU,37 m² · 1 quarto · 2 vagas,Apartamento,"Rua São Roque, Sagrada Família · Belo Horizonte"
900,R$ 498.000,R$ 922 Condo. + IPTU,100 m² · 3 quartos · 1 vaga,Apartamento,"Rua Dom Pedrito, Nova Vista · Belo Horizonte"
901,R$ 575.000,R$ 662 Condo. + IPTU,95 m² · 3 quartos · 2 vagas,Apartamento,"Rua Conde de Linhares, Coracao de Jesus · Belo Horizonte"
902,R$ 470.000,R$ 683 Condo. + IPTU,55 m² · 2 quartos · 1 vaga,Apartamento,"Rua Úrsula Paulino, Betânia · Belo Horizonte"
903,R$ 695.000,R$ 685 Condo. + IPTU,136 m² · 4 quartos · 1 vaga,Apartamento,"Rua Bernardino de Lima, Gutierrez · Belo Horizonte"
904,R$ 470.000,R$ 569 Condo. + IPTU,37 m² · 1 quarto · 1 vaga,Apartamento,"Avenida Álvares Cabral, Centro · Belo Horizonte"
905,R$ 700.000,R$ 242 Condo. + IPTU,140 m² · 3 quartos · 2 vagas,Apartamento,"Rua Antônio Cesário da Rocha, Alto Caiçaras · Belo Horizonte"
906,R$ 260.000,R$ 382 Condo. + IPTU,76 m² · 2 quartos · 1 vaga,Apartamento,"Avenida Doutor Cristiano Guimarães, São Tomaz · Belo Horizonte"
907,R$ 360.000,R$ 250 Condo. + IPTU,101 m² · 3 quartos,Apartamento,"Rua Herval, Serra · Belo Horizonte"
908,R$ 390.000,R$ 120 Condo. + IPTU,100 m² · 2 quartos · 3 vagas,Casa,"Rua Antônio Rodrigues Fróes, Candelária · Belo Horizonte"
909,R$ 362.000,R$ 420 Condo. + IPTU,65 m² · 2 quartos · 1 vaga,Apartamento,"Rua Elenir de Souza Gouvêa, Caiçaras · Belo Horizonte"
910,R$ 550.000,R$ 313 Condo. + IPTU,98 m² · 2 quartos · 1 vaga,Apartamento,"Rua Gravataí, Serra · Belo Horizonte"
911,R$ 275.000,R$ 467 Condo. + IPTU,48 m² · 2 quartos · 1 vaga,Apartamento,"Rua Gentil Portugal do Brasil 55 - Camargos Belo Horizonte - Mg 30520-540 Brasil, Camargos · Belo Horizonte"
912,R$ 470.000,R$ 569 Condo. + IPTU,37 m² · 1 quarto · 1 vaga,Apartamento,"Avenida Álvares Cabral, Centro · Belo Horizonte"
913,R$ 700.000,R$ 242 Condo. + IPTU,140 m² · 3 quartos · 2 vagas,Apartamento,"Rua Antônio Cesário da Rocha, Alto Caiçaras · Belo Horizonte"
914,R$ 370.000,R$ 410 Condo. + IPTU,63 m² · 2 quartos · 1 vaga,Apartamento,"Praça Bico de Lacre, Vila Cloris · Belo Horizonte"
915,R$ 360.000,R$ 250 Condo. + IPTU,101 m² · 3 quartos,Apartamento,"Rua Herval, Serra · Belo Horizonte"
916,R$ 390.000,R$ 120 Condo. + IPTU,100 m² · 2 quartos · 3 vagas,Casa,"Rua Antônio Rodrigues Fróes, Candelária · Belo Horizonte"
917,R$ 362.000,R$ 420 Condo. + IPTU,65 m² · 2 quartos · 1 vaga,Apartamento,"Rua Elenir de Souza Gouvêa, Caiçaras · Belo Horizonte"
918,R$ 550.000,R$ 313 Condo. + IPTU,98 m² · 2 quartos · 1 vaga,Apartamento,"Rua Gravataí, Serra · Belo Horizonte"
919,R$ 275.000,R$ 467 Condo. + IPTU,48 m² · 2 quartos · 1 vaga,Apartamento,"Rua Gentil Portugal do Brasil 55 - Camargos Belo Horizonte - Mg 30520-540 Brasil, Camargos · Belo Horizonte"
920,R$ 450.000,R$ 445 Condo. + IPTU,100 m² · 3 quartos · 2 vagas,Apartamento,"Rua Itaquera, Concórdia · Belo Horizonte"
921,R$ 277.000,R$ 278 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Emilio Ricaldoni, João Pinheiro · Belo Horizonte"
922,R$ 680.000,R$ 1.337 Condo. + IPTU,52 m² · 1 quarto · 1 vaga,Apartamento,"Rua Guaicuí, Coracao de Jesus · Belo Horizonte"
923,R$ 470.000,R$ 1.500 Condo. + IPTU,120 m² · 3 quartos · 2 vagas,Apartamento,"Rua Madre Paulina Diamante Belo Horizonte - Minas Gerais 30664 Brasil - Diamante Belo Horizonte - Mg 30660-540 Brasil, Diamante · Belo Horizonte"
924,R$ 250.000,R$ 900 Condo. + IPTU,20 m² · 1 quarto,Apartamento,"Avenida Cristiano Machado, Ipiranga · Belo Horizonte"
925,R$ 690.000,R$ 420 Condo. + IPTU,167 m² · 4 quartos · 1 vaga,Apartamento,"Rua Hélia Ricaldoni de Freitas, Serrano · Belo Horizonte"
926,R$ 450.000,R$ 323 Condo. + IPTU,103 m² · 3 quartos · 1 vaga,Apartamento,"Rua Cananéia, Caiçaras · Belo Horizonte"
927,R$ 780.000,R$ 1.168 Condo. + IPTU,73 m² · 3 quartos · 2 vagas,Apartamento,"Rua Juruá, Graça · Belo Horizonte"
928,R$ 270.000,R$ 525 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Rua Gentil Portugal do Brasil, Camargos · Belo Horizonte"
929,R$ 280.000,R$ 250 Condo. + IPTU,90 m² · 2 quartos,Apartamento,"Rua Tapira, Renascença · Belo Horizonte"
930,R$ 489.900,R$ 807 Condo. + IPTU,54 m² · 2 quartos · 1 vaga,Apartamento,"Rua Úrsula Paulino, Betânia · Belo Horizonte"
931,R$ 650.000,R$ 670 Condo. + IPTU,130 m² · 4 quartos · 2 vagas,Apartamento,"Rua Matipó, Santo Antônio · Belo Horizonte"
932,R$ 610.000,R$ 417 Condo. + IPTU,117 m² · 3 quartos · 1 vaga,Apartamento,"Rua Santa Helena, Serra · Belo Horizonte"
933,R$ 499.000,R$ 30 Condo. + IPTU,125 m² · 2 quartos · 2 vagas,Casa,"Rua Egito, Vila Jardim Leblon · Belo Horizonte"
934,R$ 455.000,R$ 200 Condo. + IPTU,85 m² · 3 quartos · 2 vagas,Apartamento,"Rua Felipe de Melo, União · Belo Horizonte"
935,R$ 390.000,R$ 400 Condo. + IPTU,60 m² · 2 quartos · 2 vagas,Apartamento,"Rua Desembargador Pedro Licínio, Ouro Preto · Belo Horizonte"
936,R$ 750.000,R$ 959 Condo. + IPTU,74 m² · 3 quartos · 2 vagas,Apartamento,"Rua Juruá, Graça · Belo Horizonte"
937,R$ 610.000,R$ 417 Condo. + IPTU,117 m² · 3 quartos · 1 vaga,Apartamento,"Rua Santa Helena, Serra · Belo Horizonte"
938,R$ 499.000,R$ 30 Condo. + IPTU,125 m² · 2 quartos · 2 vagas,Casa,"Rua Egito, Vila Jardim Leblon · Belo Horizonte"
939,R$ 455.000,R$ 200 Condo. + IPTU,85 m² · 3 quartos · 2 vagas,Apartamento,"Rua Felipe de Melo, União · Belo Horizonte"
940,R$ 390.000,R$ 400 Condo. + IPTU,60 m² · 2 quartos · 2 vagas,Apartamento,"Rua Desembargador Pedro Licínio, Ouro Preto · Belo Horizonte"
941,R$ 230.000,R$ 340 Condo. + IPTU,60 m² · 3 quartos · 1 vaga,Apartamento,"Rua Emanuel Marzano Matias, Piratininga (venda Nova) · Belo Horizonte"
942,R$ 489.900,R$ 217 Condo. + IPTU,126 m² · 3 quartos · 2 vagas,Apartamento,"Rua Pedra da Lua, Candelária · Belo Horizonte"
943,R$ 425.000,R$ 260 Condo. + IPTU,98 m² · 2 quartos · 2 vagas,Apartamento,"Rua Sara Kubitscheck, Darcy Vargas · Belo Horizonte"
944,R$ 260.000,R$ 425 Condo. + IPTU,49 m² · 2 quartos · 1 vaga,Apartamento,"Rua Comendador Teixeira da Costa, Santa Amélia · Belo Horizonte"
945,R$ 460.000,R$ 457 Condo. + IPTU,120 m² · 2 quartos · 1 vaga,Apartamento,"Rua Maria Francisca, Boa Vista · Belo Horizonte"
946,R$ 490.000,R$ 393 Condo. + IPTU,144 m² · 2 quartos · 1 vaga,Apartamento,"Rua Luiz Cosme, Estrela Dalva · Belo Horizonte"
947,R$ 466.000,,64 m² · 2 quartos · 2 vagas,Apartamento,"Rua Frei Luiz de Souza, João Pinheiro · Belo Horizonte"
948,R$ 543.100,,50 m² · 1 quarto · 1 vaga,Apartamento,"Rua Bogari, Nova Suíssa · Belo Horizonte"
949,R$ 470.000,R$ 578 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Rua Senhora das Mercês, Graça · Belo Horizonte"
950,R$ 650.000,R$ 1.051 Condo. + IPTU,110 m² · 3 quartos · 2 vagas,Apartamento,"Rua Mirabela, Santa Ines · Belo Horizonte"
951,R$ 370.000,R$ 290 Condo. + IPTU,69 m² · 2 quartos · 1 vaga,Apartamento,"Rua Três Pontas, Carlos Prates · Belo Horizonte"
952,R$ 750.000,R$ 867 Condo. + IPTU,80 m² · 3 quartos · 2 vagas,Apartamento,"Rua Virgílio José Batista, Estoril · Belo Horizonte"
953,R$ 750.000,R$ 1.145 Condo. + IPTU,105 m² · 3 quartos · 4 vagas,Apartamento,"Avenida José Cândido da Silveira, Sagrada Família · Belo Horizonte"
954,R$ 330.000,R$ 324 Condo. + IPTU,109 m² · 2 quartos,Apartamento,"Rua Itapecerica, Lagoinha · Belo Horizonte"
955,R$ 660.000,R$ 625 Condo. + IPTU,68 m² · 2 quartos · 1 vaga,Apartamento,"Rua Eli Seabra Filho, Buritis · Belo Horizonte"
956,R$ 500.000,R$ 760 Condo. + IPTU,130 m² · 3 quartos · 1 vaga,Apartamento,"Rua Doutor Juvenal dos Santos, Luxemburgo · Belo Horizonte"
957,R$ 250.000,R$ 400 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Avenida Presidente Antônio Carlos, Lagoinha · Belo Horizonte"
958,R$ 390.000,R$ 33 Condo. + IPTU,120 m² · 2 quartos · 2 vagas,Casa,"Rua Taubaté, Piratininga · Belo Horizonte"
959,R$ 470.000,R$ 883 Condo. + IPTU,110 m² · 3 quartos · 1 vaga,Apartamento,"Rua Guaxupé, Serra · Belo Horizonte"
960,R$ 660.000,R$ 625 Condo. + IPTU,68 m² · 2 quartos · 1 vaga,Apartamento,"Rua Eli Seabra Filho, Buritis · Belo Horizonte"
961,R$ 500.000,R$ 760 Condo. + IPTU,130 m² · 3 quartos · 1 vaga,Apartamento,"Rua Doutor Juvenal dos Santos, Luxemburgo · Belo Horizonte"
962,R$ 250.000,R$ 400 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Avenida Presidente Antônio Carlos, Lagoinha · Belo Horizonte"
963,R$ 390.000,R$ 33 Condo. + IPTU,120 m² · 2 quartos · 2 vagas,Casa,"Rua Taubaté, Piratininga · Belo Horizonte"
964,R$ 412.000,R$ 278 Condo. + IPTU,62 m² · 2 quartos · 1 vaga,Apartamento,"Rua Raimunda Simões da Silva, Manacás · Belo Horizonte"
965,R$ 290.000,R$ 160 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Rua dos Morangos, Vila Cloris · Belo Horizonte"
966,R$ 550.000,R$ 614 Condo. + IPTU,67 m² · 2 quartos · 1 vaga,Apartamento,"Rua Zilah Correia de Araújo, Ouro Preto · Belo Horizonte"
967,R$ 480.000,R$ 321 Condo. + IPTU,110 m² · 3 quartos · 2 vagas,Apartamento,"Rua Itaquera, Concórdia · Belo Horizonte"
968,R$ 470.000,R$ 571 Condo. + IPTU,37 m² · 1 quarto · 1 vaga,Apartamento,"Avenida Álvares Cabral, Centro · Belo Horizonte"
969,R$ 320.000,R$ 34 Condo. + IPTU,53 m² · 2 quartos · 1 vaga,Casa,"Rua Joinville, Vila Copacabana · Belo Horizonte"
970,R$ 695.000,R$ 170 Condo. + IPTU,360 m² · 3 quartos · 2 vagas,Casa,"Rua Padre Tiago Leyen, Inconfidência · Belo Horizonte"
971,R$ 200.000,R$ 225 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Rua Izabel Raso, Frei Leopoldo · Belo Horizonte"
