,Valor,Tipo,Endereco,Iptu,Condominio,m2,quartos,vagas
388,430000,Apartamento, Santa Cruz ,0,587,75,3,2
389,670000,Apartamento, Gutierrez ,0,755,157,4,2
390,270000,Apartamento, Candelária ,0,433,59,2,1
391,406000,Apartamento, Floresta ,0,487,110,4,1
392,290000,Apartamento, Nova Cachoeirinha ,0,585,70,3,1
393,320000,Apartamento, Jardim Guanabara ,0,594,56,2,1
394,185000,Apartamento, Jaqueline ,0,430,75,3,1
395,789000,Apartamento, Ouro Preto ,0,256,141,2,3
396,298000,Apartamento, Padre Eustáquio ,0,400,65,2,1
397,350000,Apartamento, Maria Virgínia ,0,587,110,2,1
398,250000,Apartamento, Copacabana ,0,150,90,3,1
399,590000,Apartamento, Pampulha ,0,686,85,3,2
400,530000,Apartamento, Santa Cruz ,0,380,110,3,2
401,175000,Apartamento, Goiânia ,0,100,47,2,1
402,560000,Apartamento, Itapoã ,0,275,83,3,2
403,340000,Apartamento, Silveira ,0,500,55,3,1
404,570000,Apartamento, Silveira ,0,806,132,3,3
405,450000,Apartamento, Cidade Nova ,0,473,125,3,2
406,320000,Casa, Jaqueline ,0,109,170,3,2
407,690000,Apartamento, Fernão Dias ,0,576,106,3,2
408,690000,Apartamento, Fernão Dias ,0,576,106,3,2
409,695000,Apartamento, Buritis ,0,1055,95,3,2
410,350000,Apartamento, Pindorama ,0,309,110,2,1
411,499000,Apartamento, São Francisco ,0,598,70,2,2
412,358000,Casa, Trevo ,0,0,160,2,2
413,390000,Apartamento, Vila Magnesita ,0,323,102,3,1
414,235000,Apartamento, Frei Leopoldo ,0,398,90,2,1
415,280000,Apartamento, Ouro Preto ,0,340,59,2,1
416,495000,Apartamento, Paquetá ,0,560,75,3,2
417,699000,Casa, Floramar ,0,0,360,4,4
418,580000,Casa, Sagrada Familia ,0,467,360,3,0
419,585000,Apartamento, Santo Antônio ,0,1328,69,2,2
420,420000,Apartamento, Carlos Prates ,0,832,68,3,2
421,290000,Apartamento, Calafate ,0,274,64,3,1
422,545000,Apartamento, Alto Caiçaras ,0,250,135,5,2
423,250000,Casa, Miramar (barreiro) ,0,50,110,2,1
424,500000,Casa, Piratininga (Venda Nova) ,0,150,360,3,2
425,300000,Apartamento, Santo Andre ,0,550,75,3,1
426,290000,Casa em condomínio, Céu Azul ,0,33,65,2,1
427,520000,Apartamento, Cinquentenario ,0,690,140,3,1
428,690600,Apartamento, Gutierrez ,0,175,173,4,3
429,185000,Apartamento, Juliana ,0,190,49,2,1
430,500000,Apartamento, Jardim América ,0,479,119,3,1
431,450000,Apartamento, Jardim América ,0,334,75,3,1
432,650000,Casa, Lagoinha ,0,117,300,4,2
433,695000,Casa, Carlos Prates ,0,275,260,3,3
434,688800,Apartamento, Paquetá ,0,1030,133,3,2
435,275000,Apartamento, Planalto ,0,561,51,2,1
436,458000,Apartamento, Vila Nova Vista ,0,717,62,2,1
437,430000,Apartamento, Pompéia ,0,610,70,3,2
438,580000,Apartamento, Horto ,0,150,105,3,2
439,530400,Apartamento, Sagrada Família ,0,0,60,2,2
440,695000,Apartamento, Ouro Preto ,0,400,92,3,2
441,407000,Apartamento, Santa Efigênia ,0,491,90,3,0
442,590000,Apartamento, Serra ,0,609,110,3,1
443,495000,Apartamento, Santa Ines ,0,0,70,3,1
444,470000,Apartamento, Fernão Dias ,0,501,120,2,2
445,649000,Apartamento, Santa Efigênia ,0,200,85,3,2
446,550000,Casa, Cachoeirinha ,0,93,140,3,2
447,390000,Apartamento, Carlos Prates ,0,699,107,3,1
448,570000,Apartamento, Nova Suíssa ,0,676,80,2,1
449,450000,Apartamento, Dona Clara ,0,400,98,3,2
450,692000,Apartamento, Estrela Dalva ,0,1001,70,2,2
451,485000,Apartamento, Cidade Nova ,0,610,118,3,1
452,450000,Apartamento, Dom Cabral ,0,885,76,3,1
453,365000,Apartamento, São João Batista (Venda Nova) ,0,617,100,2,1
454,390000,Apartamento, Serrano ,0,560,63,2,1
455,285000,Apartamento, Candelária ,0,395,70,2,1
456,285000,Apartamento, Candelária ,0,395,70,2,1
457,385000,Apartamento, Sagrada Família ,0,473,74,2,1
458,510000,Apartamento, Centro ,0,397,60,1,0
459,495000,Apartamento, Heliópolis ,0,405,89,3,2
460,780000,Apartamento, Nova Granada ,0,589,140,3,3
461,590000,Apartamento, Centro ,0,1119,65,2,2
462,370000,Apartamento, Barroca ,0,200,110,3,0
463,330000,Apartamento, Santa Maria ,0,588,52,1,0
464,320000,Apartamento, Havaí ,0,401,73,3,2
465,350000,Apartamento, Ipiranga ,0,500,60,2,1
466,580000,Apartamento, São Lucas ,0,650,97,3,2
467,270000,Apartamento, Conjunto Califórnia ,0,250,67,2,2
468,620000,Apartamento, Santa Rosa ,0,662,71,3,2
